Date,Plan A Time,Plan A Location,Plan A Title,Plan A Rationale,Plan A Type,Plan A URL,Plan B Time,Plan B Location,Plan B Title,Plan B Rationale,Plan B Type,Plan B URL,Plan C Title,Plan C Time,Plan C Location,Plan C Rationale,Plan C URL
2026-03-16,11:00 - 13:00,SAP Center,GTC 2026 Keynote,Jensen's roadmap for Physical AI and Blackwell/GR00T updates.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81595/,8:00 a.m. - 5:00 p.m. PDT,Signia - Paseo Ballroom (L2),Claim Your Free Self-Paced Developer Training,Foundational AI infrastructure knowledge for edge deployment.,DLI Self-Paced Training,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-2493/,,,,,
2026-03-16,14:00 - 15:45,Signia - Regency I Ballroom (L2),Create Vision AI Applications With Generative AI Coding Agents,Hands-on VLM agent creation for robotic scene understanding.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81879/,3:00 p.m. - 3:40 p.m. PDT,Marriott - Ballroom Salon IV (L2),Scale Sports Intelligence and Insight With Foundational Models,Insight into foundation models for high-speed motion/video intelligence.,Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81633/,,,,,
2026-03-16,16:00 - 17:45,Signia - Regency I Ballroom (L2),Build a Video Analytics AI Agent With Vision Language Models,Building the perception backbone for real-time mobile robot vision.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81774/,5:00 p.m. - 5:40 p.m. PDT,San Jose CPA,Shaping the Next Era of Autonomous Driving Through Safety-Centered AI,Understanding safety-critical perception architectures for mobile systems.,Panel Discussion,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81786/,,,,,
2026-03-17,09:00 - 09:40,SJCC 211AC (L2),Optimize Performance of Vision AI Models on the Edge,Direct optimization strategies for Jetson-based robotics.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81833/,8:00 a.m. - 9:45 a.m. PDT,Signia - Club Regent (L1),"Compress, Cut, and Distill: The Latest Gen AI Model Compression Techniques in Practice",Mastering quantization for efficient on-device VLM inference.,Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81861/,,,,,
2026-03-17,10:00 - 10:40,SJCC LL21CD (LL),Visual AI Agents for Real-Time Video Understanding,Core agentic logic for autonomous monitoring and intervention.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81836/,10:00 a.m. - 10:40 a.m. PDT,SJCC LL21F (LL),"AI Agents, Robotics, and Digital Twins: The Full Stack of Self-Driving Labs and Biomanufacturing",Understanding the intersection of digital twins and physical robot fleets.,Lightning Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81674/,,,,,
2026-03-17,13:00 - 14:45,Signia - Crystal Ballroom (L2),Transform Massive Raw Data Into Diverse High-Quality Post-Training Datasets,Solving data scarcity for specialized robotics domains like surgery/lab.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit82342/,1:00 p.m. - 2:30 p.m. PDT,SJCC LL20CD (LL),"Agentic AI Using Open Source Models: Finetuning, Deployment and Chip Design Case Studies",Custom agentic frameworks for domain-specific deployment.,Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81702/,,,,,
2026-03-17,15:00 - 15:40,Marriott - Ballroom Salon V-VI (L2),"All Roads, All Rides: Technical Foundations for a Universal Autonomy Platform",Architectures for universal environment navigation and mapping.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82418/,3:00 p.m. - 3:40 p.m. PDT,SJCC 230B (L2),Leverage Physical AI to Simulate and Orchestrate Robotic Fleets for Retail Fulfillment Centers,Production-scale logistics and fleet management strategies.,Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81730/,,,,,
2026-03-17,16:00 - 16:40,San Jose CPA,"How AI Is Changing Everyday Work, Insights from NVentures Portfolio Companies",Industry trends in Physical AI deployment from top-tier startups.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81832/,4:00 p.m. - 4:40 p.m. PDT,Montgomery Theater,"Scaling AI Agents Globally Across Brands, Use Cases, and Restaurants",Enterprise-grade agent deployment and operational scaling.,Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81755/,,,,,
2026-03-18,08:00 - 09:45,Signia - Club Regent (L1),Build Surgical and Medical Robotics With NVIDIA Isaac for Healthcare: From Simulation to Deployment,End-to-end sim-to-real workflow for precision manipulators.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81541/,8:00 a.m. - 8:45 a.m. PDT,Signia - California Ballroom (L2),Your Path to Physical AI and OpenUSD Certification at GTC,Validating expertise in Physical AI architectures and OpenUSD.,Certification,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c81931/,,,,,
2026-03-18,10:00 - 11:45,Signia - Regency II Ballroom (L2),Deploy and Optimize LLMs and VLMs on NVIDIA Jetson Thor,Cutting-edge hardware deployment for project 'Robot Scene Inspector'.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81738/,11:00 a.m. - 11:40 a.m. PDT,SJCC LL20CD (LL),Use Reinforcement Learning to Turn AI Agents Into Continuous Learners,Applying RL for adaptive robot behavior and self-improvement.,Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82359/,,,,,
2026-03-18,13:00 - 14:45,Signia - Gold Ballroom (L2),Generate Synthetic Data for Physical AI with NVIDIA Cosmos World Foundation Models,Using world models to bridge the reality gap for autonomous systems.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81644/,2:00 p.m. - 2:40 p.m. PDT,SJCC 212BD (L2),A New Frontier for Vision AI with Expert Reasoning Agents,Deep reasoning for complex multi-modal interaction at the edge.,Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81863/,,,,,
2026-03-18,16:00 - 17:00,San Jose Civic,Advancing to AI's Next Frontier: Insights From Jeff Dean and Bill Dally,Strategic future of AI compute and architectural breakthroughs.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82167/,4:00 p.m. - 4:40 p.m. PDT,SJCC 212BD (L2),Vision to AI-Driven Software Engineering,AI agents for the coding and deployment lifecycle.,Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82224/,,,,,
2026-03-19,09:00 - 09:40,San Jose CPA,Agentic AI 101,Foundational concepts for the final networking discussion.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82432/,,TBD,No Plan B defined,Strategic time for networking/expo exploration.,,,"Vibe Hack: Rapid Prototyping, From Idea to Reality",8:00 a.m. - 12:00 p.m. PDT,Guildhouse,Applying morning insights to a rapid build.,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-se82375/
2026-03-19,10:00 - 11:45,Signia - Regency II Ballroom (L2),Adding Safety and Perception to Industrial Robots,Finalizing the safety-critical layer of your robotics project.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81776/,10:00 a.m. - 11:45 a.m. PDT,Signia - Gold Ballroom (L2),Powering Specialized Agents: Architecting Synthetic Data Pipelines with NVIDIA Data Designer,Advanced synthetic data pipelines for specialized robotic tasks.,Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81572/,"Vibe Hack: Rapid Prototyping, From Idea to Reality",8:00 a.m. - 12:00 p.m. PDT,Guildhouse,Applying lab techniques to the hackathon project.,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-se82375/
2026-03-19,12:00 - 12:40,SJCC LL20AB (LL),Interactive Digital Twin for Fusion With Integrated Sensors and Agentic AI,Integrating multi-sensor data into a unified agentic digital twin.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81875/,12:00 p.m. - 12:40 p.m. PDT,Marriott - Ballroom Salon III (L2),How AI Systems Evolve Into Long-Horizon Agents,"Managing complex, multi-step tasks for long-mission autonomy.",Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82413/,,,,,
2026-03-19,13:00 - 14:45,Signia - Club Regent (L1),Train and Test End-to-End Autonomous Vehicles with Alpamayo,Reasoning-based autonomous navigation at scale.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit82311/,1:00 p.m. - 2:45 p.m. PDT,Signia - Gold Ballroom (L2),Advance World Simulation With 3D Gaussian Splatting for Large-Scale Environment Reconstruction,Reconstructing real-world environments for accurate simulation.,Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81757/,,,,,
2026-03-19,15:00 - 15:50,Connect With the Experts Pod C (L2),"Agentic AI II: Production Deployment, Safety and Scale",Production-ready agent deployment strategies and safety guardrails.,,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-cwes82381/,3:00 p.m. - 3:50 p.m. PDT,SJCC LL21F (LL),"What's in Your Developer Toolbox? CUDA, AI, and HPC Profiling, Optimization, and Debugging Tools",Optimizing the full robotics stack for peak performance.,,,,,,,
